7:29,224,1023,331,899,70405,302,2734,21911,2108£¬
10196:1937,2956,31722,3549,66319,983,1539,302,50325,736,
10200:2403,970,1524,3506,47360,63358,17,302,654,76,
10210:23370,4699,6289,11644,47756,59082,8209,17,302,654,
10233:10891,33505,17,302,654,76,616,58,8,866,
10235:6320,3060,3282,87474,84220,83921,71422,64639,60256,54356,
10236:65107,33195,115745,98423,92484,605,49842,2377,102580,13568,
10237:17,12684,66299,11579,1762,24423,2570,354,4304,53310,
10249:138,656,273,2013,1462,1804,1891,2073,2097,2326,
10254:118045,101192,90332,182,238,2030,7990,5514,5169,1804,
10267:736,354,361,866,289,94,76,3751,7282,62193,
10275:25450,6616,47577,104144,35670,112997,108124,22110,30808,81,
10276:518,5998,302,813,4904,4802,6943,138,616,101,
10279:302,81718,107694,1305,14975,1541,20161,37601,616,64714,
10302:12409,13863,1348,62899,610,596,59181,5819,57837,54362,
10303:89570,72700,22218,92545,7945,1930,90038,13716,7686,76972,
10304:29798,3968,32239,193,4326,43258,27251,925,57881,656,
10306:364,17,654,650,2618,554,15,394,616,430,
10313:901,7956,79194,62641,616,5928,58581,58,52627,3824,
10317:49309,83135,17,302,654,76,616,58,8,866,
10335:17,302,654,76,616,58,8,866,84,29,
10339:354,29,301,654,944,93469,14464,2967,495,67883,
10342:7560,11223,6996,1357,21198,29,302,38678,93171,654,
10346:51326,8167,9411,8843,8384,7742,238,119814,57981,38501,
10359:302,13513,363,17,302,654,76,616,58,8,
10364:81,5468,26735,17,54998,2530,3974,32721,564,364,
10366:3223,84,76,58,654,40053,190,24631,327,813,
10371:3550,53429,21244,5781,17,302,654,76,616,58,
10377:17,302,654,76,616,58,8,866,84,29,
10378:168,18935,2153,463,8860,97626,17,302,654,76,
10387:48539,17,302,654,76,616,58,8,866,84,
10388:301,8102,81,698,521,5053,45160,41249,4,38454,
10392:17,302,654,76,616,58,8,866,84,29,
10408:840,17,302,654,76,616,58,8,866,84,
10420:21794,17,302,654,76,616,58,8,866,84,
10427:52789,61213,12351,9711,616,21946,65647,6,92663,63872,
10439:29,6,650,966,70,73635,301,3223,564,17,
10445:17,302,654,76,616,58,8,866,84,29,
10454:358,6610,394,650,3323,70467,6774,226,55179,11861,
10471:9572,5746,56243,33999,2275,107027,11209,66299,31419,12684,
10478:17,1462,736,3014,138,7836,8074,76451,2700,38285,
10479:30754,68370,77710,75860,23863,27322,62290,921,52696,70299,
10480:114033,21278,51206,17,302,654,76,616,58,8,
10488:302,301,58,81,84,17,302,654,76,616,
10502:53201,21868,28760,58923,17302,110086,11241,22678,56913,38702,
10513:13660,35083,4275,78930,109834,26610,65894,76793,17,302,
10523:16465,17,302,654,76,616,58,8,866,84,
10543:102138,21411,4919,301,6678,16465,16669,19692,8928,336,
10554:17,302,654,76,616,58,8,866,84,29,
10563:899,736,70,6450,4420,98938,82046,674,40517,398,
10564:866,8,84,2265,32062,5363,1102,354,1535,2937,
10570:17,17839,294,10012,1168,1550,2618,3101,38250,4008,
10573:17,302,654,76,616,58,8,866,84,29,
10580:17,302,654,76,616,58,8,866,84,29,
10636:354,39700,49612,1550,1555,7932,1476,2626,17,302,
10655:13468,1475,2272,22772,236,37730,39120,42408,43587,43694,
10691:103,518,45878,110009,8,409,861,3288,1475,17,
10693:654,2557,510,937,944,10859,1102,11842,15583,17,
10698:302,13673,15200,486,3795,8588,1305,107592,1239,37309,
10707:17,302,654,76,616,58,8,866,84,29,
10710:70,94,289,1119,58,650,76,1023,106052,93412,
10726:69494,22655,103120,98,96121,888,75513,650,61,5767,
10747:17,302,654,76,616,58,8,866,84,29,
10758:26684,53332,899,97861,17,302,654,76,616,58,
10770:34578,33606,13724,32998,20043,10209,21091,6999,17508,19152,
10779:17,302,654,76,616,58,8,866,84,29,
10794:2185,238,53189,17,302,654,76,616,58,8,
10801:17,302,654,76,616,58,8,866,84,29,
10807:8151,1119,17,117241,14108,7608,61274,57718,1187,29026,
10820:17,302,654,76,616,58,8,866,84,29,
10842:17,302,654,76,616,58,8,866,84,29,
10843:17,302,654,76,616,58,8,866,84,29,
10844:2848,105574,811,59622,2265,2370,41447,31633,22614,91441,
10845:10770,5545,40137,65072,61664,14117,13667,57722,116782,535,
10854:13566,107981,3492,54897,78928,51617,63599,23368,45662,16689,
10858:17,302,654,76,616,58,8,866,84,29,
10871:71044,1348,8695,45,4328,4113,367,349,322,302,
10892:9318,17,1703,6,11861,65,674,4252,4268,44797,
10905:17,302,654,76,616,58,8,866,84,29,
10908:101446,15340,31609,31878,56527,807,17,302,654,76,
10913:22926,12869,20118,12306,46072,840,47214,49843,58232,1347,
10920:18546,9088,87640,873,8151,6527,6451,5725,42594,38450,
10955:1119,2140,87036,17,302,654,76,616,58,8,
10956:327,17,302,654,76,616,58,8,866,84,
10968:1578,58,7514,1499,3704,17,302,654,76,616,
10991:89977,115140,49100,115265,87186,20674,22333,24644,3223,34088,
10999:76,58,3065,29,273,226,17,1357,1349,1344,
11000:3423,8667,22597,12116,12706,2241,8283,262,3498,37567,
11022:1069,2030,3599,47723,62118,7010,3223,52803,17,302,
11034:182,197,645,19902,1832,1937,224,358,364,70,
11037:4625,203,9435,311,1011,11855,17486,11590,20356,30936,
11047:699,7095,120694,1410,953,80362,6503,53867,51293,398,
11055:17,302,654,76,616,58,8,866,84,29,
11099:17,302,654,76,616,58,8,866,84,29,
11105:301,354,4420,650,1109,1187,1539,25,29,34611,
11110:17,302,654,76,616,58,8,866,84,29,
11118:9790,95747,82688,78463,71023,6475,43864,377,32331,3137,
11132:17,302,654,76,616,58,8,866,84,29,
11134:17403,780,986,34256,55772,6916,17,302,654,76,
11135:17,302,654,76,616,58,8,866,84,29,
11149:302,13625,1462,301,354,650,1220,4996,6,65625,
11150:5975,603,15718,5319,1205,12551,827,16465,1760,17995,
11193:36541,49767,91690,116263,26360,17,302,654,76,616,
11211:45787,46247,46620,46911,47174,48431,48476,4906,49594,49980,
11222:109642,73901,17967,65045,50516,50369,59089,39105,34240,34183,
11228:119799,1875,226,441,29594,43467,17,302,654,76,
11240:17,302,654,76,616,58,8,866,84,29,
11259:17,302,654,76,616,58,8,866,84,29,
11264:1476,1937,29,3101,3751,76,892,966,9943,17,
11273:289,650,84,76,1089,138,58,1362,15998,29,
11278:17,302,654,76,616,58,8,866,84,29,
11279:2405,118856,35846,13926,19000,58982,113529,52989,30455,3132,
11280:17,302,654,76,616,58,8,866,84,29,
11287:354,1119,114216,1187,2172,322,48,65,899,302,
11332:168,31188,100792,103220,108417,98337,9752,85124,55777,74854,
11360:17,302,654,76,616,58,8,866,84,29,
11363:96,83739,91852,17,302,654,76,616,58,8,
11378:17,302,654,76,616,58,8,866,84,29,
11388:43418,4267,34115,23839,51943,25652,925,190,654,616,
11394:8968,18406,4587,41945,26483,23035,19018,14156,112040,1030,
11404:1550,17,40,500,72566,17,302,654,76,616,
11414:102777,16572,45472,68335,73182,17,107829,121069,1534,18319,
11418:4825,984,1527,7880,4372,76,986,2642,500,44,
11419:10217,1102,32926,6457,17,302,654,76,616,58,
11426:112723,5970,65,654,101693,108577,34214,88420,86995,49961,
11427:1398,20356,58760,6444,81,347,37970,76,26741,45095,
11428:17,302,654,76,616,58,8,866,84,29,
11431:17,302,654,76,616,58,8,866,84,29,
11437:17,302,654,76,616,58,8,866,84,29,
11439:93409,108272,26045,17,302,654,76,616,58,8,
11444:10454,17,302,654,76,616,58,8,866,84,
11458:17800,24893,9716,658,616,861,4083,564,45396,6249,
11462:7623,61338,5738,81421,78725,7764,74205,7415,725,5521,
11463:301,354,65,29,58,15,2733,1410,94,866,
11484:1550,188,238,239,402,40984,64890,8208,82159,999,
11507:1344,19293,2414,8983,112551,17,302,654,76,616,
11510:43765,44577,10163,1196,3223,616,84,17,302,654,
11511:2520,76547,33229,13400,56430,98937,108903,12158,5694,52469,
11525:17,302,654,76,616,58,8,866,84,29,
11529:354,37343,4075,4113,4347,470,543,654,76193,76213,
11535:155,378,46896,58,17,302,654,76,616,58,
11537:13083,866,17,3378,10178,186,22713,77977,38292,40356,
11538:13294,1455,1614,19651,25683,70375,68488,36105,5254,17,
11540:4600,19065,27250,26293,23410,99909,86953,74679,63412,19294,
11552:40653,873,17,302,654,76,616,58,8,866,
11554:17,302,654,76,616,58,8,866,84,29,
11558:565,8769,17,302,654,76,616,58,8,866,
11569:29,199,616,866,5542,743,239,892,1462,736,
11584:17,302,944,937,2557,591,2272,356,654,2930,
11586:6324,8735,82141,13504,500,4796,36493,718,70,58383,
11603:17,302,654,76,616,58,8,866,84,29,
11606:654,736,2618,917,944,787,66884,518,354,31478,
11614:9354,17145,13335,4719,37507,5598,9266,13035,78146,4372,
11616:17,302,654,76,616,58,8,866,84,29,
11651:17,302,654,76,616,58,8,866,84,29,
11657:17,36785,43414,20954,1058,84,76822,8975,518,67309,
11660:17,13044,182,2734,35305,354,749,84,1553,3234,
11670:17,302,654,76,616,58,8,866,84,29,
11676:8511,731,5767,2241,262,16404,3137,3739,14174,550,
11685:17,302,654,76,616,58,8,866,84,29,
11699:17,302,654,76,616,58,8,866,84,29,
11700:43419,46726,60241,899,17,302,654,76,616,58,
11716:17,302,654,76,616,58,8,866,84,29,
11719:565,5545,508,4485,378,26418,76,2316,986,500,
11723:9846,15098,93968,75666,21535,866,77934,2829,76,79065,
11738:1460,24262,25344,56530,113535,29342,43491,91536,17,302,
11749:51141,10071,12727,3010,3137,3682,403,550,79369,81,
11775:66536,75437,17,302,654,76,616,58,8,866,
11781:10163,22091,4114,698,11524,13241,2375,2557,26321,4374,
11788:11349,1682,2008,20743,24600,3159,5613,17,302,654,
11795:8839,45147,29960,12505,18765,10905,8008,53369,24790,44729,
11799:17,302,654,76,616,58,8,866,84,29,
11818:654,97,29,787,302,6,58,94541,2193,3,
11825:17,302,654,76,616,58,8,866,84,29,
11835:17,866,17839,58,17,302,654,76,616,58,
11836:135,28446,86780,40,224,94940,168,1326,9417,1400,
11838:100091,69035,168,53636,33984,57210,57418,57649,61837,65699,
11839:10345,97455,51014,38138,3521,1262,10046,94970,85617,84183,
11843:14581,15187,49878,57959,400,64719,710,441,97820,7994,
11844:23356,51436,33681,79048,56745,224,36220,59355,1456,2062,
11847:14607,100871,14419,224,26233,2991,441,771,95906,14399,
11851:17,302,654,76,616,58,8,866,84,29,
11856:22597,1888,1023,87889,33214,30095,8667,1501,20406,1535,
11863:17,302,654,76,616,58,8,866,84,29,
11864:17,302,654,76,616,58,8,866,84,29,
11865:899,866,302,17,1119,719,500,46177,4374,4372,
11883:225,35382,11825,13183,14797,8364,17,302,654,76,
11884:8894,1682,98714,106202,106645,64370,606,4261,7327,63295,
11885:11237,733,4513,17,302,654,76,616,58,8,
11892:17,302,654,76,616,58,8,866,84,29,
11893:17,302,654,76,616,58,8,866,84,29,
11896:13420,361,57331,21163,94605,17,302,654,76,616,
11910:899,48,63303,654,295,25,1539,155,19348,9067,
11913:17,23060,349,8384,17,302,654,76,616,58,
11922:17,302,654,76,616,58,8,866,84,29,
11928:17,302,654,76,616,58,8,866,84,29,
11929:654,226,29,1535,962,1444,363,2831,45,33407,
11939:104068,1206,2680,2880,30372,4755,60592,8213,87937,9777,
11956:654,1245,93171,542,1089,866,76,5064,5017,2021,
11962:17,302,654,76,616,58,8,866,84,29,
11968:17,302,654,76,616,58,8,866,84,29,
11972:82167,122092,16237,32142,96735,54075,3588,238,110950,100111,
11979:17,302,654,76,616,58,8,866,84,29,
11983:89388,77386,56291,9518,596,5545,53490,495,4828,3,
11988:1102,8,224,302,3329,354,361,4326,11524,1709,
11990:110421,122719,20452,79005,105021,107724,23393,12505,18765,3484,
11996:17,302,654,76,616,58,8,866,84,29,
11999:102138,13,1569,21411,33116,3775,3977,441,4919,80750,
12008:15,1624,58,76,17,302,654,76,616,58,
12010:17020,5111,176,27070,3370,36967,3905,6754,79506,17,
12011:17,302,654,76,616,58,8,866,84,29,
12027:107791,17191,20405,3937,2399,2995,17,302,654,76,
12028:654,28473,70,73635,6,17,302,654,76,616,
12037:17,101,6,616,654,8259,8521,2059,285,301,
12047:17,302,654,76,616,58,8,866,84,29,
12050:70,654,94,91712,79894,78484,71746,62962,49349,3439,
12067:4146,6117,76,2528,26437,16658,45287,26529,80621,24647,
12084:17,654,6,239,591,11842,568,5542,6837,4886,
12094:135,84563,17,302,654,76,616,58,8,866,
12130:42536,57671,97747,17,182,302,616,138,289,1804,
12170:17,302,654,76,616,58,8,866,84,29,
12199:790,87170,106857,80951,12731,27289,40454,70055,58900,97308,
12211:3043,10692,28550,39373,4110,65415,85406,12093,16658,25027,
12213:5739,40,33950,994,98780,95712,7140,51063,344,3409,
12232:76,29,146,13683,102907,709,3841,268,6836,654,
12234:17,302,654,76,616,58,8,866,84,29,
12235:17,302,654,76,616,58,8,866,84,29,
12237:10291,108904,45322,56151,20288,23902,30139,32,3239,3650,
12239:100879,110485,3030,30848,3092,39695,17,302,654,76,
12263:1412,8183,42184,3858,91055,6247,57147,27322,902,690,
12268:6696,16995,17219,3613,8384,17,302,654,76,616,
12271:6917,17,302,654,76,616,58,8,866,84,
12272:10085,12536,542,578,10254,301,302,3373,4897,82607,
12296:4420,48,6945,1187,25921,45082,3816,1119,71458,899,
12310:17,302,2162,1102,736,361,138,875,1119,654,
12327:12361,17,302,654,76,616,58,8,866,84,
12328:899,17,6945,1119,9617,947,908,6397,50668,32620,
12356:17,302,654,76,616,58,8,866,84,29,
12360:302,13513,363,115235,70,84,17,302,654,76,
12364:1190,15583,48350,62,650,8,917,17,302,654,
12373:10305,43086,57734,58654,3919,14890,12779,13885,19795,8102,
12375:75280,39233,84119,65861,47601,67765,1790,3694,7707,40513,
12376:10968,72027,72700,89570,7945,92545,1592,65877,83828,13312,
12379:30494,65,105134,42510,3675,4299,6,4499,56167,61172,
12406:17,302,654,76,616,58,8,866,84,29,
12416:518,84,1102,86781,19162,27024,303,7407,356,38899,
12428:17,302,654,76,616,58,8,866,84,29,
12433:10071,121961,1709,493,67440,398,55521,17,302,654,
12443:102141,106043,111668,119,3039,41539,4728,57068,68087,17,
12453:2162,70,568,6352,182,654,875,1756,2265,2935,
12464:10470,11671,17,46118,52060,17,302,654,76,616,
12467:1356,398,1603,17,19829,2140,4708,5648,5876,6094,
12474:113143,3544,40502,55113,90350,301,354,4456,4971,17,
12480:40167,1103,39285,40542,4135,5702,5987,12525,224,17,
12496:2924,52070,23398,54513,2744,36443,22510,65938,16433,15937,
12498:17,302,654,76,616,58,8,866,84,29,
12505:28553,80281,89735,1145,68204,2139,41640,254,9029,6379,
12512:25759,12665,2338,2618,2976,301,58,654,68428,17,
12531:17,302,654,76,616,58,8,866,84,29,
12532:5282,93074,17,302,654,76,616,58,8,866,
12533:354,866,29,27204,650,518,289,1762,1937,94,
12534:115121,76996,678,63571,63314,51633,50937,4138,3683,35882,
12536:771,17,302,654,76,616,58,8,866,84,
12540:17,302,654,76,616,58,8,866,84,29,
12541:17,302,654,76,616,58,8,866,84,29,
12544:76,518,568,2168,4017,302,803,1102,554,5407,
12549:24538,254,17,302,654,76,616,58,8,866,
12552:28472,568,6463,97,3144,32130,3235,81762,17,302,
12555:37827,877,8899,3645,13392,48587,3409,39844,4138,22029,
12556:1102,113535,29342,43491,91536,17,302,654,76,616,
12559:2162,875,84,182,654,70,10256,4299,17,302,
12562:12637,88524,49329,9354,48208,67574,64,42440,3041,10246,
12564:58,21144,4502,560,19886,3234,354,1240,138,285,
12568:17,302,654,76,616,58,8,866,84,29,
12573:273,483,5048,57498,123075,13704,1690,1772,2790,46161,
12587:45,17,302,654,76,616,58,8,866,84,
12595:124,1382,14729,1598,3476,57930,17,302,654,76,
12601:17,302,654,76,616,58,8,866,84,29,
12604:736,76,650,285,866,302,726,29,356,3,
12616:11644,42514,80826,37386,14964,28490,62292,61078,5738,40,
12622:16401,17123,17608,27705,32,32205,43893,534,63512,7905,
12628:4305,122304,62866,8471,17,302,654,76,616,58,
12630:205,22253,83893,17,302,654,76,616,58,8,
12642:17,654,32000,30,2770,2021,917,861,616,394,
12660:2626,776,58517,5582,32815,31038,182,1499,12490,18772,
12662:59585,60833,18098,2139,1987,51752,3233,656,4249,61,
12663:1220,3448,17,302,654,76,616,58,8,866,
12669:17,302,654,76,616,58,8,866,84,29,
12676:98443,50550,75173,69173,99400,72413,719,47883,41797,39281,
12700:17,302,654,76,616,58,8,866,84,29,
12701:114,303,9444,1119,358,5998,17,302,654,76,
12723:16465,10426,115831,12139,13,14955,4547,17,302,654,
12725:2975,62002,7514,96219,74587,21058,8514,873,7193,70,
12739:24464,2832,105698,2492,29912,56304,93499,1112,88116,121313,
12753:17,302,654,76,616,58,8,866,84,29,
12754:36233,5124,89964,7225,696,4940,44362,42088,4177,26488,
12761:1730,2512,564,67137,7298,17,302,654,76,616,
12766:17,302,654,76,616,58,8,866,84,29,
12767:17,302,654,76,616,58,8,866,84,29,
12773:69111,55267,9979,9397,59656,53193,52311,51399,39969,29559,
12779:3237,54459,375,2967,4575,81,39851,44254,48076,17339,
12780:47382,43920,99929,17,302,654,76,616,58,8,
12794:17,302,654,76,616,58,8,866,84,29,
12795:17,302,654,76,616,58,8,866,84,29,
12796:17,302,654,76,616,58,8,866,84,29,
12799:290,46545,17,302,654,76,616,58,8,866,
12804:1551,21144,22870,46762,931,947,1449,37448,17,302,
12807:41164,71843,19206,51483,17,302,654,76,616,58,
12811:17,361,302,70,2162,378,48889,16442,84,106498,
12836:616,15,92176,76,58,3231,48035,9900,8231,1549,
12841:9127,11004,1412,2193,21850,5538,31329,29000,22420,5671,
12852:17,302,654,76,616,58,8,866,84,29,
12860:70,866,89048,6,65625,11154,1245,289,361,394,
12885:119,301,17,302,654,76,616,58,8,866,
12892:1558,224,294,345,616,749,100245,10274,236,568,
12898:34020,6284,51288,17,35651,3638,3062,2890,45035,19669,
12902:51483,226,5975,117709,67113,23848,11238,26639,54394,7622,
12912:17,322,866,84,239,650,73635,70,902,736,
12918:17,9837,1418,16869,302,510,591,616,736,17,
12928:84,113167,5517,4364,106498,16442,17,48889,378,875,
12931:17,302,654,76,616,58,8,866,84,29,
12934:616,568,31654,780,21794,3516,57016,3997,542,65511,
12939:88691,106711,40026,6435,63870,50272,44541,106561,101647,431,
12956:17,302,654,76,616,58,8,866,84,29,
12967:16852,19722,427,94938,9830,1351,598,8081,8103,17,
12970:962,17,302,654,76,616,58,8,866,84,
12985:44036,4985,93399,3001,986,3010,107432,30425,90258,787,
12986:2833,17,302,654,76,616,58,8,866,84,
12991:107669,6545,76,106631,13709,226,236,301,46649,508,
12998:14541,15987,17,46091,1550,244,3368,37338,4173,5379,
13004:17,302,654,76,616,58,8,866,84,29,
13019:2194,29960,35032,3484,44729,18765,45147,3717,10905,1371,
13024:17,302,654,76,616,58,8,866,84,29,
13025:117672,285,17,302,654,76,616,58,8,866,
13039:533,103097,9054,8529,16574,26987,2946,74204,73446,4889,
13040:81,6431,34936,39595,51865,6227,95194,12727,8667,34595,
13050:17,302,654,76,616,58,8,866,84,29,
13060:17,302,654,76,616,58,8,866,84,29,
13062:939,73537,2656,9093,5010,50946,8,116694,36227,84,
13071:1527,10041,3107,1712,5624,23191,6434,7831,6601,15608,
13080:121481,86137,1144,40888,52642,42111,63072,32884,49809,17,
13081:654,138,301,394,650,1102,859,84,2618,2338,
13087:108157,1556,26859,31469,35640,50100,6774,83258,17,302,
13092:1190,1539,302,7132,736,8,17,302,654,76,
13094:61315,63787,675,17,302,654,76,616,58,8,
13106:110733,1701,77776,76170,28641,76148,75252,7405,33504,35355,
13109:1730,2512,5363,564,67137,7298,17,302,654,76,
13110:1730,2512,5363,564,11429,187,3148,7375,718,8,
13116:11884,70284,17,302,654,76,616,58,8,866,
13152:17,654,84,361,866,1462,1102,947,11506,224,
13153:17,302,654,76,616,58,8,866,84,29,
13177:17,302,654,76,616,58,8,866,84,29,
13179:17,302,654,76,616,58,8,866,84,29,
13192:17,302,654,76,616,58,8,866,84,29,
13195:8194,37121,107634,40541,650,76,108759,17396,4403,76494,
13226:55388,111734,46537,83388,83624,17,302,654,76,616,
13233:115040,2185,6353,63713,1262,3521,38138,51014,97455,18323,
13259:14889,17,302,654,76,616,58,8,866,84,
13264:654,873,40653,8,302,354,76,866,73135,64162,
13269:17,302,654,76,616,58,8,866,84,29,
13280:660,7788,6708,6496,58,542,4541,4018,38926,3546,
13285:28138,66092,38049,99869,82470,81501,74956,69053,68220,58094,
13289:17,302,654,76,616,58,8,866,84,29,
13295:568,861,963,81,398,402,10274,11632,28473,302,
13296:26767,31496,17,302,654,76,616,58,8,866,
13307:616,3795,2425,289,58,322,101,85195,7184,12128,
13312:654,58,84,19886,354,564,3223,115235,749,866,
13319:17,302,654,76,616,58,8,866,84,29,
13325:11008,21553,35620,35946,42209,99035,17,302,654,76,
13335:3231,327,19902,591,17,302,654,76,616,58,
13339:104494,7021,37869,9289,5545,42141,3672,13667,11199,10492,
13353:3423,17,302,654,76,616,58,8,866,84,
13367:109548,17,302,654,76,616,58,8,866,84,
13375:17,302,654,76,616,58,8,866,84,29,
13377:10015,120,9095,11887,26131,43400,15928,17,302,654,
13380:15089,32752,17,302,654,76,616,58,8,866,
13387:87381,752,7457,51224,2194,52805,870,12508,87802,66682,
13392:9286,103746,105231,66642,8772,37575,23964,20442,21519,3522,
13414:237,16329,3234,395,25616,53758,56268,5884,1348,354,
13425:17985,29298,30,273,302,8359,1803,13419,13102,95140,
13432:12970,23323,24463,34302,66277,94478,17,302,654,76,
13434:3207,584,80130,92169,29372,1468,14542,28262,2021,9270,
13435:138,15403,1649,23958,254,361,546,65759,97861,17,
13436:46994,113945,93236,59405,50442,35823,94836,89820,45169,42190,
13444:17,302,654,76,616,58,8,866,84,29,
13445:8868,654,673,866,7505,155,1693,76978,17626,2032,
13447:11404,22182,5477,17,302,654,76,616,58,8,
13459:10039,1050,1673,2080,2414,3081,660,76,94383,14635,
13464:4017,10778,9657,8574,12051,760,12332,59005,38076,37042,
13466:17,302,654,76,616,58,8,866,84,29,
13467:108958,123205,25697,2998,3028,34838,508,58513,60015,8,
13469:13116,47090,17,302,654,76,616,58,8,866,
13470:6951,18920,62558,73080,7097,30298,33228,20956,21249,70569,
